,r,p-val,power
diff,0.0034798779699914094,0.7450246338600947,0.062199997710757675
Duration (sec),-0.016309435276352126,0.12744121849678353,0.3317985340452649
Καθαρές Μηχανοώρες (min),-0.018926546221640764,0.07690978293301548,0.4243700392630381
Duration (min),-0.02950430329825601,0.005817900819165659,0.7876155902772206
Production Quantity (#),0.011779108236717165,0.2709691253361009,0.19624564727740734
DB  955DBW    8   in die side,-0.2030483582218552,5.91855501421775e-82,1.0
DB  955DBW   12  in center,-0.0034077310562312356,0.750132781159382,0.06169599867349204
DB  955DBW   16  in stem side,-0.1831442328476851,9.153281977532347e-67,1.0
MW   960  diff die,-0.34333419938244814,3.2965645853875925e-240,1.0
MW   962  diff stem,0.21810003983341586,1.44677703843236e-94,1.0
MW   964  dif cont disk,-0.17356408461153625,4.775454887480528e-60,1.0
DB   10DBW   92  disk temp,0.009772599193307753,0.36108349755562413,0.14966287057282535
DB   10DBW    2 pressure main ,0.06823848950448175,1.719049230432809e-10,0.999995227531007
DB   10DBW   12 pressure mandrel,0.13157540408042648,4.879289130087573e-35,1.0
DB  301DBW   98  billet number,0.08189307231800859,1.7737709788093673e-14,0.9999999943706073
DB 2000DBW    8  m1 id,0.38090995979328235,1.0996686216622102e-299,1.0
DB 2000DBW   50  m1 counter,0.04794950956554938,7.338941930477129e-06,0.9942088653128033
DB 2000DBW   18  m2 id,0.3782575467848923,3.2074038344503306e-295,1.0
DB 2000DBW   52   m2 counter,0.1026078097912731,6.950515711796666e-22,0.9999999999999909
DB 2000DBW   38  man id,0.4132420700509848,0.0,1.0
DB 2000DBW   56 man counter,0.05090294066883638,1.9346983259824753e-06,0.9974552505908767
DB  700DBW   46  contener counter,0.48135104622505154,0.0,1.0
DB  301DBW  272  cooling water mandrel outlet,0.04931871738106751,3.992004775010855e-06,0.9960096613527436
DB  301DBW  274  cooling water mandrel inlet,0.04265068960555099,6.672883544658363e-05,0.9787401311118482
DB  301DBW  276  mandrel coolng flow,-0.0424863056139504,7.118958038978042e-05,0.9779430296682808
DB  301DBW   96  mandrell movment,-0.12651551657065313,1.6744198308268076e-32,1.0
DB   30DBW   80   contener position,0.009170148766598935,0.391446136031489,0.13744778983993486
DB   10DBW  114  cont  cooling air flow,-0.0009317526406234051,0.9306116729278993,0.05086718376419671
MW    46  mikos  bigetas,0.00023270856077358375,0.98264948547519,0.05005234116607293
DB  301DBW  166   mikos   solinas,-0.001391482869199744,0.8965358990205506,0.05193756077311368
